GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
etudiant-backend,com.openclassrooms.etudiant.mapper,UserDtoMapperImpl,2,27,1,1,1,8,1,2,0,2
etudiant-backend,com.openclassrooms.etudiant.mapper,StudentDtoMapperImpl,8,102,4,6,4,28,4,6,0,5
etudiant-backend,com.openclassrooms.etudiant.controller,UserController,0,46,0,0,0,8,0,3,0,3
etudiant-backend,com.openclassrooms.etudiant.controller,StudentController,0,66,0,0,0,9,0,6,0,6
etudiant-backend,com.openclassrooms.etudiant.configuration.logging,RequestLoggingFilterConfig,0,24,0,0,0,8,0,2,0,2
etudiant-backend,com.openclassrooms.etudiant.configuration,AppConfig,0,15,0,0,0,4,0,2,0,2
etudiant-backend,com.openclassrooms.etudiant.service,UserService,0,86,0,6,0,16,0,7,0,4
etudiant-backend,com.openclassrooms.etudiant.service,JwtService,1,91,2,2,0,21,2,9,0,9
etudiant-backend,com.openclassrooms.etudiant.service,StudentService,0,141,1,7,0,32,1,11,0,8
etudiant-backend,com.openclassrooms.etudiant.configuration.security,SpringSecurityConfig,0,95,0,0,0,20,0,9,0,9
etudiant-backend,com.openclassrooms.etudiant.configuration.security,JwtAuthenticationFilter,7,75,4,6,4,17,4,3,0,2
etudiant-backend,com.openclassrooms.etudiant.configuration.security,CustomUserDetailService,6,15,0,0,0,3,1,2,1,2
